FeatureSet,Model,Accuracy,Precision,Recall,F1,ROC_AUC
Headline-only,Logistic Regression,0.811853448275862,0.5976123595505618,0.739357080799305,0.6609708737864077,0.8674981741050874
Headline-only,Linear SVM,0.7931034482758621,0.5641370047011417,0.7298001737619462,0.6363636363636364,0.8555258315883679
Headline-only,Multinomial Naive Bayes,0.8336206896551724,0.7550471063257066,0.48740225890529976,0.5923970432946146,0.8596039333250163
Combined,Logistic Regression,0.81875,0.6100852272727273,0.7463075586446568,0.6713559984368894,0.8769338113405443
Combined,Linear SVM,0.8010775862068965,0.5782967032967034,0.731537793223284,0.6459532029152283,0.8635537928686882
Combined,Multinomial Naive Bayes,0.74375,0.4640151515151515,0.21285838401390095,0.29184038117927336,0.6257758341407611
